-267022,80105,117221,-143631,83110,-2459,
-261744,78351,105621,-140341,78945,1655,
205904,-124921,285509,139463,-19348,-5993,
72762,-142119,684273,59867,61437,-50,
47319,18280,-219584,45122,-36003,-4153,
-23273,4345,23661,3780,10418,-1348,
-283071,-196370,1748549,-136229,274769,-118073,
-31330,-1104,77275,1150,19259,-50,
-20348,8187,-16059,7278,3187,2809,
-13807,10258,-43782,9529,-1906,4379,
-20712,2829,22783,3572,10616,-377,
24557,529881,-3368011,25591,-599903,-3614,
-10256,-4531,42872,6648,13960,7204,
-20020,-104452,642881,203,120050,5975,
234384,-249891,984486,120507,96597,-136430,
-23419,-4828,77368,1077,22180,849,
-29456,13841,-18108,12321,10592,-1469,
-15184,18604,-87318,7486,-12628,1463,
-13285,5066,-598,5040,5388,1634,
-23575,3385,29233,8102,13122,-369,
-55921,-25464,285921,-8901,65525,14925,
-22262,2384,30769,7182,11555,-8051,
-18491,7881,-9167,7966,3298,2052,
-15300,15015,-59378,10402,-7176,14374,
-22486,7753,807,5203,5342,-1254,
-21481,-729,50518,6233,18111,401,
-24657,7543,6444,5766,6912,2041,
-25445,8302,127,5632,5156,-2320,
-138255,1130674,-7219732,-31032,-1762114,-161371,
-24113,6722,9747,6316,8003,1740,
-32177,16537,-30313,1660,778,3100,
-40581,15034,-4680,-3418,8331,3032,
-40407,7722,40609,-3900,19331,2765,
-47622,7696,57284,-8723,23751,881,
-43652,7014,53909,-8192,22635,-6724,
-46421,13465,26348,-9744,16679,-1508,
26225,-13072,13548,32060,-3221,-8924,
28576,-31902,116911,36064,20971,-4946,
21217,-2624,-39841,31346,-13726,-3482,
21054,1025,-58401,26967,-18191,-9183,
20184,-4154,-24309,24036,-10558,-9524,
19056,-7816,2863,22692,-1192,-9906,
21893,-8193,-1130,25175,-4142,-9925,
22653,-5684,-18639,26853,-9380,-8209,
22227,-2706,-35475,27521,-14694,-8234,
22475,-7556,-6355,27266,-7243,-9336,
31075,-47700,201288,69856,40185,56553,
24365,-6478,-17936,30771,-11027,-6985,
-44087,18078,-8441,-8446,8654,-440,
-33339,15562,-22066,-1590,3576,3831,
-46000,28904,-73287,-7133,-6280,4795,
-48530,-7422,181975,-13773,46389,-1435,
-112837,147345,-657663,-15408,-55190,5376,
50967,-73448,371704,74448,34961,-28008,
7994,-142247,911004,16463,124656,-6464,
-1146,-117418,595485,14177,43039,-4416,
-158001,-22858,493007,-75813,104528,3446,
-41951,-32074,229793,-4253,36662,3590,
-37443,-44165,344813,388,58413,6801,
-34870,-75599,501881,-2284,63113,40,
-80557,-64958,587042,-27731,103925,6676,
-96304,-50743,485533,-36728,80910,9912,
-283725,29529,449736,-138846,134322,33200,
-1273058,357279,679944,-648333,491999,236968,
4654816,-402303,-7796522,2340136,-1986779,-1021057,
803566,-540786,1013457,303548,39674,-287587,
29584,-20227,20819,26491,-16682,-22445,
50899,-30580,39905,30664,-6820,-32240,
99916,-62818,16555,30868,-55253,-63776,
50305,-29495,46426,29606,1699,-30756,
54656,-28018,42305,35939,8703,-28654,
44416,-29941,30382,26722,-8450,-30387,
48929,-34204,38165,33806,-9378,-27567,
99271,-55831,-3246,50609,-49554,-47921,
89431,-48276,45518,49930,-9335,-40208,
216150,-112678,45990,99750,-68657,-79485,
1135940,-548644,223058,429754,-318491,-398477,
-621411,272015,63020,-255050,225893,156694,
-25342,7047,20862,9442,12779,2077,
117558,-25070,-152780,99826,-81102,-854,
-164151,-36457,91039,-49590,47865,37562,
-90680,34729,66611,-24545,32697,10981,
-34968,9462,54292,4928,27235,-914,
-62600,18271,71061,-7605,34967,4546,
-34871,11819,18733,4821,11831,-1673,
-45063,12365,42822,-2785,22236,-2476,
-34596,8680,-5963,9113,-2376,4193,
5224,14423,-23098,28550,-7370,-6172,
-151659,50956,177730,-55857,117350,-4040,
-69674,-69629,477424,177,68999,-5417,
-58529,30654,-52779,8570,-1652,2872,
-83243,37683,41268,-12508,54688,2458,
13921,204177,-848297,46217,18818,-3105,
-131351,80719,-93595,-9247,21806,34955,
-227074,-24702,692494,-54197,163554,46255,
-1156780,536715,91741,-406570,457519,329130,
-22777620,10986408,-555800,-8102296,8567278,7379903,
-902518,1823386,-8902505,-500186,-799270,1117,
-169039,292922,-1389768,-63723,-114542,-12578,
714964,-102338,-986557,463153,-300095,-9279,
73994,35658,-378510,76247,-62824,-2610,
91979,9456,-286908,85257,-62834,4569,
409741,-138707,-183441,272278,-158134,32033,
247640,-61245,-202283,169940,-96536,22557,
-591763,220452,-23857,-305073,133016,-58109,
144347,-45529,-46065,108417,-39670,20556,
-237497,97184,-64861,-105879,46537,-26332,
-389892,159571,-60432,-190563,94321,-44416,
507460,-182128,-74004,308559,-139288,60500,
87575,-27983,-40014,73818,-29544,8877,
58835,-20627,-12387,53646,-18183,11232,
76256,-27143,-11400,64844,-22349,8064,
-185003,8813,181848,-96652,18342,8044,
114423,-40601,-19756,85238,-30065,13998,
96843,-37118,-469,74739,-26302,10479,
54437,-25321,25986,47123,-11553,11881,
96577,-39223,15770,71536,-22354,15120,
75161,-41167,63384,58143,-18760,19930,
649964,-255856,18091,381781,-180124,79310,
8610780,-3050092,-1552682,4729045,-2411347,1187466,
16045,107639,-658224,24526,-50528,16419,
-17641,11017,-27046,11416,-3874,1754,
1879,18390,-73087,2488,13695,16209,
20201,30783,-143623,-4512,37925,24398,
-2216,12031,-46077,6795,6504,14055,
-2024,16516,-69365,3567,3101,16616,
-180743,377417,-1672616,134008,-94379,-112296,
-2829,21308,-86344,6458,8407,14299,
2863,-26918,119360,4134,-817,18506,
-8431,19998,-72316,11654,6750,9349,
-1742,3896,-8962,3289,2935,16357,
1372,55,8860,2589,6846,16224,
-440,3348,-572,2356,6480,14314,
13350,-21151,95466,-4669,13016,23846,
-1200,3019,1790,4657,7508,13567,
9439,-3416,17516,-1230,12622,22692,
-73618,66046,-220953,52767,-20203,-42109,
-5344,23238,-99922,7460,4306,15525,
-2206,17691,-85752,7203,1040,21031,
-7087,17594,-127594,4066,-8837,22128,
-7338,28776,-192178,5023,-15659,21450,
-9702,7492,-103767,4311,-16217,21855,
-11214,29583,-208139,6830,-18964,23750,
-15966,57537,-344320,10641,-22997,25344,
-18674,127559,-647245,10233,-22394,33957,
65449,73982,-424468,9349,11581,77200,
-15004,-21980,-47851,7645,-32227,30394,
26666,-28527,-14172,5286,-14178,47134,
4235,21583,-121729,8079,7648,25524,
-8711,18678,-85426,8603,5466,14638,
-3249,-2470,-6056,7774,2421,16240,
2193,2587,-14609,6589,8953,17443,
-4086,3353,-10742,5481,8365,13835,
103777,-13049,-132146,132805,203468,-19461,
271455,-77346,93586,-80621,86297,197127,
-6005,-4640,16403,7180,2968,11875,
